stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
Kumbalagodu,,KBG0,20954,Kumbalagodu (Towards Kengeri),12.87861,77.44539,,
Kumbalagodu,,KBG0,35432,Kumbalagodu (Towards Bidadi),12.87826,77.4455,,
Kumbalagunte Cross,,KBG,31334,Kumbalagunte Cross (Towards Byatha),13.20124,77.45822,,
Kumbalagunte Cross,,KBG,33616,Kumbalagunte Cross (Towards Kodipalya),13.20118,77.45816,,
Kumbalahalli,,KMB,31336,Kumbalahalli (Towards Hosakote),13.09182,77.79373,,
Kumbalahalli,,KMB,33617,Kumbalahalli (Towards Sonadanahalli),13.09187,77.79366,,
Kumbara Doddy,,KMBD,31339,Kumbara Doddy (Towards Sugganahalli),12.79431,77.31781,,
Kumbara Doddy,,KMBD,38484,Kumbara Doddy (Towards Yale Doddy),12.79432,77.31782,,
Kumbarahalli,,KMBRH1,31341,Kumbarahalli (Towards Kumbarahalli),13.10509,77.49165,,
Kumbarahalli Cross,,KMBRH2,33620,Kumbarahalli Cross (Towards Siluvepura),13.10666,77.49016,,
Kumbarahalli Cross,,KMBRH2,33622,Kumbarahalli Cross (Towards Soladevanahalli),13.10664,77.49019,,
Kumbarahalli Cross,,KMBRHC,31344,Kumbarahalli Cross (Towards Kumbarahalli),13.09669,77.49397,,
Kumbarahalli Cross,,KMBRHC1,31388,Kumbarahalli Cross (Towards Kempapura),13.09677,77.49398,,
Kumbaranahalli,,KMBRL,24090,Kumbaranahalli (Towards Indlawadi Cross),12.74789,77.6605,,
Kumbaranahalli,,KMBRL,24219,Kumbaranahalli (Towards Haragadde),12.7476,77.66058,,
Kundalahalli,,KUDLI,20955,Kundalahalli (Towards Kundalahalli Gate),12.95815,77.71571,,
Kundalahalli,,KUDLI,20956,Kundalahalli (Towards ITPL),12.95832,77.71566,,
Kundalahalli Colony,,KUNDC,20957,Kundalahalli Colony (Towards Kundalahalli Gate),12.97052,77.71245,,
Kundalahalli Colony,,KUNDC,20958,Kundalahalli Colony (Towards ITPL),12.97022,77.71248,,
Kundalahalli Gate,,KDLGTE,20959,Kundalahalli Gate (Towards Marathahalli Bridge),12.95592,77.71378,,
